index,problem_type,bool_capacity,n_instances,gp_avg_cost,nn_avg_cost,savings_avg_cost,pct_vs_nn,pct_vs_savings
0,VRP,False,27,626.6909691896411,687.5874376461396,602.9983635084944,8.856541746162367,-3.929132666843951
1,MDVRP,False,33,2763.8537632719626,2919.8180155287387,2318.1532523496135,5.341574420984353,-19.226533468855
2,GVRP,False,92,571.3127995740372,626.096262714317,606.4466079972321,8.750006413195466,5.793388562139559
3,GVRP-MD,False,92,596.7588035799469,612.3817849791292,572.0922725599376,2.551183229546054,-4.311635063629533
4,VRPTW,False,120,6544.93978379246,9400.967810939004,5986.765024435872,30.38014898661028,-9.323478657978299
5,MDVRPTW,False,20,4139.829121261021,4013.0459991516655,3299.5682255914276,-3.159274080988777,-25.46578334560674
6,G-VRPTW,False,92,1105.0560659573123,1326.0703103280764,1106.7636187250826,16.666857153003004,0.15428342049562968
7,G-VRPTW-MD,False,92,953.7636701441769,1102.2492308593653,757.9208926120752,13.471142148080437,-25.839474731611517
8,VRP,True,27,1327.0423088986097,1453.260347397832,1094.0534004986753,8.685163585810681,-21.29593567313413
9,MDVRP,True,33,3917.948825631341,3852.937082148458,2597.0987647894617,-1.6873294864870068,-50.858676564383806
10,GVRP,True,92,716.4334939577324,780.8664717208892,657.346377314294,8.251471934908173,-8.988733897773846
11,GVRP-MD,True,92,686.1164631456214,733.8781204489882,588.7721531977078,6.508118442629965,-16.533443271598774
12,VRPTW,True,120,7704.511051237711,9509.661093314602,6095.617845885498,18.9822752289872,-26.394259712954373
13,MDVRPTW,True,20,3873.220794448327,4090.123784081288,3302.7136374877773,5.303091081916507,-17.2738910962474
14,G-VRPTW,True,92,1370.987459392263,1326.0703103280764,1107.1268267155738,-3.387237367004607,-23.83291835312706
15,G-VRPTW-MD,True,92,951.7139402503424,1102.2492308593653,758.023620323214,13.65710098900759,-25.552016419295835
