index,problem_type,bool_capacity,n_instances,gp_avg_cost,nn_avg_cost,savings_avg_cost,pct_vs_nn,pct_vs_savings
0,VRP,False,27,628.4237862552122,687.5874376461396,602.9983635084944,8.604527679194657,-4.216499460924264
1,MDVRP,False,33,2751.383267250085,2919.8180155287387,2318.1532523496135,5.768672820800876,-18.688583874312965
2,GVRP,False,92,581.2180242276114,626.096262714317,606.4466079972321,7.167945435761728,4.160066762173379
3,GVRP-MD,False,92,594.0617497185136,612.3817849791292,572.0922725599376,2.991603556797485,-3.8401982009421998
4,VRPTW,False,120,7524.409500164052,9400.967810939004,5986.765024435872,19.961331093926113,-25.684062585587625
5,MDVRPTW,False,20,4173.356744834387,4013.0459991516655,3299.5682255914276,-3.9947397990606324,-26.481904888823404
6,G-VRPTW,False,92,1130.0406412396003,1326.0703103280764,1106.7636187250826,14.782750775860249,-2.1031611557065193
7,G-VRPTW-MD,False,92,953.1283769387443,1102.2492308593653,757.9208926120752,13.528778224173438,-25.755654215298375
8,VRP,True,27,1347.4550312476931,1453.260347397832,1094.0534004986753,7.280547930698789,-23.161724156564574
9,MDVRP,True,33,3803.773044784538,3852.937082148458,2597.0987647894617,1.276014539445985,-46.46239474427139
10,GVRP,True,92,718.4630906870556,780.8664717208892,657.346377314294,7.991555956591119,-9.297489950802614
11,GVRP-MD,True,92,711.2568089933992,733.8781204489882,588.7721531977078,3.0824343750361707,-20.8034050405508
12,VRPTW,True,120,7554.265681873027,9509.661093314602,6095.617845885498,20.56219871827231,-23.929450186450023
13,MDVRPTW,True,20,4100.017374631413,4090.123784081288,3302.7136374877773,-0.24188975865794127,-24.14086792429598
14,G-VRPTW,True,92,1125.4407420406867,1326.0703103280764,1107.1268267155738,15.129632774732205,-1.6541840449701128
15,G-VRPTW-MD,True,92,985.966039314495,1102.2492308593653,758.023620323214,10.54962782366475,-30.070622191705386
