index,problem_type,bool_capacity,n_instances,gp_avg_cost,nn_avg_cost,savings_avg_cost,pct_vs_nn,pct_vs_savings
0,VRP,False,27,633.4911347583604,687.5874376461396,602.9983635084944,7.867552536004786,-5.056858043933389
1,MDVRP,False,33,2790.763331668582,2919.8180155287387,2318.1532523496135,4.41995642104382,-20.387352684294903
2,GVRP,False,92,573.3811986297062,626.096262714317,606.4466079972321,8.41964203013688,5.4523199456458755
3,GVRP-MD,False,92,597.0912305718734,612.3817849791292,572.0922725599376,2.496898957857942,-4.369742297002756
4,VRPTW,False,120,7001.139059084139,9400.967810939004,5986.765024435872,25.527464832529418,-16.943608618476734
5,MDVRPTW,False,20,3682.2175495337424,4013.0459991516655,3299.5682255914276,8.24382401018723,-11.596951412445101
6,G-VRPTW,False,92,1094.7022550825654,1326.0703103280764,1106.7636187250826,17.447646134862136,1.089786783596211
7,G-VRPTW-MD,False,92,983.3828592385642,1102.2492308593653,757.9208926120752,10.78398317666571,-29.747427313880177
8,VRP,True,27,1297.9916010090246,1453.260347397832,1094.0534004986753,10.68416589407585,-18.640607525866038
9,MDVRP,True,33,3618.471673211885,3852.937082148458,2597.0987647894617,6.0853682252665156,-39.32745732545226
10,GVRP,True,92,730.6732253196953,780.8664717208892,657.346377314294,6.427891095205684,-11.154978643830248
11,GVRP-MD,True,92,700.0204769332312,733.8781204489882,588.7721531977078,4.613524040619009,-18.894970343165426
12,VRPTW,True,120,7288.267861829604,9509.661093314602,6095.617845885498,23.359331207361976,-19.565695325686082
13,MDVRPTW,True,20,3777.988799158132,4090.123784081288,3302.7136374877773,7.631431257361481,-14.390444157062158
14,G-VRPTW,True,92,1147.1672525385347,1326.0703103280764,1107.1268267155738,13.491219613029429,-3.616606955658888
15,G-VRPTW-MD,True,92,956.0523169770516,1102.2492308593653,758.023620323214,13.263507906313682,-26.12434379939244
