index,problem_type,bool_capacity,n_instances,gp_avg_cost,nn_avg_cost,savings_avg_cost,pct_vs_nn,pct_vs_savings
0,VRP,False,27,618.1630376523243,687.5874376461396,602.9983635084944,10.09681041170271,-2.5148781591372007
1,MDVRP,False,33,2803.1226256291748,2919.8180155287387,2318.1532523496135,3.996666548357877,-20.920505268062424
2,GVRP,False,92,605.3090113505548,626.096262714317,606.4466079972321,3.320136631009939,0.187583973869396
3,GVRP-MD,False,92,612.3817849791292,612.3817849791292,572.0922725599376,0.0,-7.042484989162396
4,VRPTW,False,120,6979.699348567815,9400.967810939004,5986.765024435872,25.75552337870779,-16.58549016170058
5,MDVRPTW,False,20,3625.799753765207,4013.0459991516655,3299.5682255914276,9.649683693342173,-9.887097519109616
6,G-VRPTW,False,92,1114.9717877501935,1326.0703103280764,1106.7636187250826,15.919104811694043,-0.7416370475356048
7,G-VRPTW-MD,False,92,1013.7789920134185,1102.2492308593653,757.9208926120752,8.026337090475561,-33.75788976070599
8,VRP,True,27,1292.9168387555455,1453.260347397832,1094.0534004986753,11.033364319710032,-18.17675793212902
9,MDVRP,True,33,3741.1965776156085,3852.937082148458,2597.0987647894617,2.900138313977901,-44.05291890849192
10,GVRP,True,92,737.0595889079423,780.8664717208892,657.346377314294,5.61003505713396,-12.126515691670923
11,GVRP-MD,True,92,701.3243169186287,733.8781204489882,588.7721531977078,4.435859664332678,-19.116421031401305
12,VRPTW,True,120,6995.796351165167,9509.661093314602,6095.617845885498,26.434851016054715,-14.767633536726438
13,MDVRPTW,True,20,4262.04907017562,4090.123784081288,3302.7136374877773,-4.203425010349641,-29.04688501597023
14,G-VRPTW,True,92,1244.6405373203304,1326.0703103280764,1107.1268267155738,6.140682916549114,-12.420773057474161
15,G-VRPTW-MD,True,92,972.8332707224512,1102.2492308593653,758.023620323214,11.741079650018477,-28.338120955603518
