index,problem_type,bool_capacity,n_instances,gp_avg_cost,nn_avg_cost,savings_avg_cost,pct_vs_nn,pct_vs_savings
0,VRP,False,27,635.5089515441525,687.5874376461396,602.9983635084944,7.574089235875306,-5.39148860147779
1,MDVRP,False,33,2748.684582291768,2919.8180155287387,2318.1532523496135,5.86109929888835,-18.57216857883664
2,GVRP,False,92,565.0336607317894,626.096262714317,606.4466079972321,9.752909515511684,6.82878702252248
3,GVRP-MD,False,92,614.8549336795586,612.3817849791292,572.0922725599376,-0.4038573257879817,-7.474783906496629
4,VRPTW,False,120,6911.878136285468,9400.967810939004,5986.765024435872,26.476951359808098,-15.452637744651899
5,MDVRPTW,False,20,3720.248298529511,4013.0459991516655,3299.5682255914276,7.296146136477135,-12.749549158441148
6,G-VRPTW,False,92,1316.234263738333,1326.0703103280764,1106.7636187250826,0.741743971879578,-18.92641224099385
7,G-VRPTW-MD,False,92,983.2487877638366,1102.2492308593653,757.9208926120752,10.796146621281864,-29.72973793811096
8,VRP,True,27,1291.8742973286553,1453.260347397832,1094.0534004986753,11.105102424224958,-18.08146629221318
9,MDVRP,True,33,3823.245749444866,3852.937082148458,2597.0987647894617,0.7706155608187586,-47.212181580426105
10,GVRP,True,92,742.5056065536352,780.8664717208892,657.346377314294,4.912602417505975,-12.955000921625881
11,GVRP-MD,True,92,714.0850811546313,733.8781204489882,588.7721531977078,2.6970471993697567,-21.283772895224526
12,VRPTW,True,120,7027.897352651518,9509.661093314602,6095.617845885498,26.097289023346914,-15.294257782175476
13,MDVRPTW,True,20,3727.668484020339,4090.123784081288,3302.7136374877773,8.861719576107221,-12.866839005025128
14,G-VRPTW,True,92,1211.5082465412231,1326.0703103280764,1107.1268267155738,8.639214896419034,-9.428135720937185
15,G-VRPTW-MD,True,92,940.1203227015261,1102.2492308593653,758.023620323214,14.708915517358617,-24.02256308328068
