instance_name,problem_type,bool_capacity,filepath,num_customers,num_routes,fitness
A-n69-k9.vrp,CVRP,False,Sets/Set_A/A-n69-k9.vrp,68,1,873.6077782450479
A-n80-k10.vrp,CVRP,False,Sets/Set_A/A-n80-k10.vrp,79,1,933.0735001840252
C1_10_1.txt,VRPTW,True,Sets/Vrp-Set-HG/C1_10_1.txt,1000,166,100119.32503978102
C1_10_10.txt,VRPTW,True,Sets/Vrp-Set-HG/C1_10_10.txt,1000,106,61571.19000400993
C1_10_2.txt,VRPTW,True,Sets/Vrp-Set-HG/C1_10_2.txt,1000,150,89059.08083680269
C1_10_3.txt,VRPTW,True,Sets/Vrp-Set-HG/C1_10_3.txt,1000,133,73558.21158385141
C1_10_4.txt,VRPTW,True,Sets/Vrp-Set-HG/C1_10_4.txt,1000,115,57904.68558082886
C1_10_5.txt,VRPTW,True,Sets/Vrp-Set-HG/C1_10_5.txt,1000,155,95417.53843191524
C1_10_6.txt,VRPTW,True,Sets/Vrp-Set-HG/C1_10_6.txt,1000,153,94596.24348483127
C1_10_7.txt,VRPTW,True,Sets/Vrp-Set-HG/C1_10_7.txt,1000,147,92644.40053889435
C1_10_8.txt,VRPTW,True,Sets/Vrp-Set-HG/C1_10_8.txt,1000,127,78282.5379676686
C1_10_9.txt,VRPTW,True,Sets/Vrp-Set-HG/C1_10_9.txt,1000,110,66970.05699211438
C1_2_1.txt,VRPTW,True,Sets/Vrp-Set-HG/C1_2_1.txt,200,37,6954.0961515594545
C1_2_10.txt,VRPTW,True,Sets/Vrp-Set-HG/C1_2_10.txt,200,23,4735.930098380175
C1_2_2.txt,VRPTW,True,Sets/Vrp-Set-HG/C1_2_2.txt,200,36,7798.662705031516
C1_2_3.txt,VRPTW,True,Sets/Vrp-Set-HG/C1_2_3.txt,200,32,5696.678986084038
C1_2_4.txt,VRPTW,True,Sets/Vrp-Set-HG/C1_2_4.txt,200,28,4988.248169465983
C1_2_5.txt,VRPTW,True,Sets/Vrp-Set-HG/C1_2_5.txt,200,37,7734.382265313914
C1_2_6.txt,VRPTW,True,Sets/Vrp-Set-HG/C1_2_6.txt,200,37,7054.4569693568965
C1_2_7.txt,VRPTW,True,Sets/Vrp-Set-HG/C1_2_7.txt,200,34,7235.711551260293
C1_2_8.txt,VRPTW,True,Sets/Vrp-Set-HG/C1_2_8.txt,200,30,5949.374451293329
C1_2_9.txt,VRPTW,True,Sets/Vrp-Set-HG/C1_2_9.txt,200,25,5823.723795962908
C1_4_1.txt,VRPTW,True,Sets/Vrp-Set-HG/C1_4_1.txt,400,78,20203.570406278453
C1_4_10.txt,VRPTW,True,Sets/Vrp-Set-HG/C1_4_10.txt,400,46,13047.852107528935
C1_4_2.txt,VRPTW,True,Sets/Vrp-Set-HG/C1_4_2.txt,400,69,18143.765933289724
C1_4_3.txt,VRPTW,True,Sets/Vrp-Set-HG/C1_4_3.txt,400,61,14417.163687432234
C1_4_4.txt,VRPTW,True,Sets/Vrp-Set-HG/C1_4_4.txt,400,52,12180.339676348689
C1_4_5.txt,VRPTW,True,Sets/Vrp-Set-HG/C1_4_5.txt,400,72,18913.929471432104
C1_4_6.txt,VRPTW,True,Sets/Vrp-Set-HG/C1_4_6.txt,400,69,18436.324000135864
C1_4_7.txt,VRPTW,True,Sets/Vrp-Set-HG/C1_4_7.txt,400,70,19412.64240703034
C1_4_8.txt,VRPTW,True,Sets/Vrp-Set-HG/C1_4_8.txt,400,57,15513.543675965413
C1_4_9.txt,VRPTW,True,Sets/Vrp-Set-HG/C1_4_9.txt,400,49,13556.09805331568
C1_6_1.txt,VRPTW,True,Sets/Vrp-Set-HG/C1_6_1.txt,600,116,37602.0068257024
C1_6_10.txt,VRPTW,True,Sets/Vrp-Set-HG/C1_6_10.txt,600,69,22124.592923527114
C1_6_2.txt,VRPTW,True,Sets/Vrp-Set-HG/C1_6_2.txt,600,105,35120.99870198867
C1_6_3.txt,VRPTW,True,Sets/Vrp-Set-HG/C1_6_3.txt,600,96,28202.325277873653
C1_6_4.txt,VRPTW,True,Sets/Vrp-Set-HG/C1_6_4.txt,600,76,21979.771706566455
C1_6_5.txt,VRPTW,True,Sets/Vrp-Set-HG/C1_6_5.txt,600,110,36147.098832189506
C1_6_6.txt,VRPTW,True,Sets/Vrp-Set-HG/C1_6_6.txt,600,99,33617.985652046234
C1_6_7.txt,VRPTW,True,Sets/Vrp-Set-HG/C1_6_7.txt,600,99,33850.96096066717
C1_6_8.txt,VRPTW,True,Sets/Vrp-Set-HG/C1_6_8.txt,600,82,28365.340801063547
C1_6_9.txt,VRPTW,True,Sets/Vrp-Set-HG/C1_6_9.txt,600,73,25451.16677949885
C1_8_1.txt,VRPTW,True,Sets/Vrp-Set-HG/C1_8_1.txt,800,137,61864.066123826015
C1_8_10.txt,VRPTW,True,Sets/Vrp-Set-HG/C1_8_10.txt,800,87,40647.844133381215
C1_8_2.txt,VRPTW,True,Sets/Vrp-Set-HG/C1_8_2.txt,800,120,55031.78505331174
C1_8_3.txt,VRPTW,True,Sets/Vrp-Set-HG/C1_8_3.txt,800,107,45830.81999460442
C1_8_4.txt,VRPTW,True,Sets/Vrp-Set-HG/C1_8_4.txt,800,98,38149.96273087227
C1_8_5.txt,VRPTW,True,Sets/Vrp-Set-HG/C1_8_5.txt,800,130,60144.06483574411
C1_8_6.txt,VRPTW,True,Sets/Vrp-Set-HG/C1_8_6.txt,800,124,57965.694691591976
C1_8_7.txt,VRPTW,True,Sets/Vrp-Set-HG/C1_8_7.txt,800,119,56691.27006631316
C1_8_8.txt,VRPTW,True,Sets/Vrp-Set-HG/C1_8_8.txt,800,103,48020.264371477504
C1_8_9.txt,VRPTW,True,Sets/Vrp-Set-HG/C1_8_9.txt,800,94,45126.295642493875
C2_10_1.txt,VRPTW,True,Sets/Vrp-Set-HG/C2_10_1.txt,1000,109,73568.44971799913
C2_10_10.txt,VRPTW,True,Sets/Vrp-Set-HG/C2_10_10.txt,1000,48,33596.91102678567
C2_10_2.txt,VRPTW,True,Sets/Vrp-Set-HG/C2_10_2.txt,1000,100,60858.97400113126
C2_10_3.txt,VRPTW,True,Sets/Vrp-Set-HG/C2_10_3.txt,1000,93,51416.548721137246
C2_10_4.txt,VRPTW,True,Sets/Vrp-Set-HG/C2_10_4.txt,1000,76,39751.744560678955
C2_10_5.txt,VRPTW,True,Sets/Vrp-Set-HG/C2_10_5.txt,1000,74,49862.50837419036
C2_10_6.txt,VRPTW,True,Sets/Vrp-Set-HG/C2_10_6.txt,1000,63,44122.51623630046
C2_10_7.txt,VRPTW,True,Sets/Vrp-Set-HG/C2_10_7.txt,1000,64,46233.623787983735
C2_10_8.txt,VRPTW,True,Sets/Vrp-Set-HG/C2_10_8.txt,1000,55,39092.66021900042
C2_10_9.txt,VRPTW,True,Sets/Vrp-Set-HG/C2_10_9.txt,1000,58,39564.61994524695
C2_2_1.txt,VRPTW,True,Sets/Vrp-Set-HG/C2_2_1.txt,200,32,6544.6523436058305
C2_2_10.txt,VRPTW,True,Sets/Vrp-Set-HG/C2_2_10.txt,200,12,3710.951155462349
C2_2_2.txt,VRPTW,True,Sets/Vrp-Set-HG/C2_2_2.txt,200,28,5404.031047251495
C2_2_3.txt,VRPTW,True,Sets/Vrp-Set-HG/C2_2_3.txt,200,28,5166.922394236876
C2_2_4.txt,VRPTW,True,Sets/Vrp-Set-HG/C2_2_4.txt,200,22,4019.5500835527896
C2_2_5.txt,VRPTW,True,Sets/Vrp-Set-HG/C2_2_5.txt,200,22,4835.213559114535
C2_2_6.txt,VRPTW,True,Sets/Vrp-Set-HG/C2_2_6.txt,200,18,4644.307445801452
C2_2_7.txt,VRPTW,True,Sets/Vrp-Set-HG/C2_2_7.txt,200,20,4499.87458749745
