index,problem_type,bool_capacity,n_instances,gp_avg_cost,nn_avg_cost,savings_avg_cost,pct_vs_nn,pct_vs_savings
0,VRP,False,27,622.3985557817151,687.5874376461396,602.9983635084944,9.480813391179689,-3.2172877153998103
1,MDVRP,False,33,2731.6259652841964,2919.8180155287387,2318.1532523496135,6.445334923055585,-17.836297600924304
2,GVRP,False,92,571.4845297416697,626.096262714317,606.4466079972321,8.722577696900624,5.765071119949612
3,GVRP-MD,False,92,601.5103707017997,612.3817849791292,572.0922725599376,1.7752674138895168,-5.142194634132218
4,VRPTW,False,120,7084.553765512535,9400.967810939004,5986.765024435872,24.640165693696773,-18.336927148399436
5,MDVRPTW,False,20,3589.295285407143,4013.0459991516655,3299.5682255914276,10.559328595637844,-8.780756753825989
6,G-VRPTW,False,92,1296.6971323221196,1326.0703103280764,1106.7636187250826,2.2150543434374694,-17.161163448417984
7,G-VRPTW-MD,False,92,970.1183818859912,1102.2492308593653,757.9208926120752,11.987384093737012,-27.997313617072233
8,VRP,True,27,1321.4242655202556,1453.260347397832,1094.0534004986753,9.071745617613418,-20.782428437034568
9,MDVRP,True,33,3571.7316401205526,3852.937082148458,2597.0987647894617,7.298469609867103,-37.527755530317734
10,GVRP,True,92,722.6804809904061,780.8664717208892,657.346377314294,7.451464858294105,-9.939068036405125
11,GVRP-MD,True,92,703.1769004541572,733.8781204489882,588.7721531977078,4.1834221704344925,-19.431073061981706
12,VRPTW,True,120,7035.6138882821115,9509.661093314602,6095.617845885498,26.016144852646466,-15.420849307853251
13,MDVRPTW,True,20,3889.9818819730763,4090.123784081288,3302.7136374877773,4.893296943411869,-17.78138551945445
14,G-VRPTW,True,92,1170.7249729824362,1326.0703103280764,1107.1268267155738,11.714713476030319,-5.7444318692497065
15,G-VRPTW-MD,True,92,953.9819120370342,1102.2492308593653,758.023620323214,13.451342461517063,-25.85121181715492
