row_index,variant_name,functions_count,terminals_count,constants_count,size_total
191,G-VRPTW,11,7,5,23
192,G-VRPTW,16,14,3,33
193,G-VRPTW,4,4,1,9
194,G-VRPTW,6,5,2,13
195,G-VRPTW,6,5,2,13
196,G-VRPTW,7,6,2,15
197,G-VRPTW,9,9,1,19
198,G-VRPTW,5,4,2,11
199,G-VRPTW,7,5,3,15
200,G-VRPTW,7,6,2,15
201,G-VRPTW,5,6,0,11
202,G-VRPTW,7,5,3,15
203,G-VRPTW,6,4,3,13
204,G-VRPTW,10,8,3,21
205,G-VRPTW,2,2,1,5
206,G-VRPTW-MD,7,5,3,15
207,G-VRPTW-MD,7,4,4,15
208,G-VRPTW-MD,6,6,1,13
209,G-VRPTW-MD,14,10,5,29
210,G-VRPTW-MD,7,6,2,15
211,G-VRPTW-MD,8,7,2,17
212,G-VRPTW-MD,7,6,2,15
213,G-VRPTW-MD,10,7,4,21
214,G-VRPTW-MD,5,4,2,11
215,G-VRPTW-MD,7,7,1,15
216,G-VRPTW-MD,8,4,5,17
217,G-VRPTW-MD,7,7,1,15
218,G-VRPTW-MD,6,7,0,13
219,G-VRPTW-MD,7,6,2,15
220,G-VRPTW-MD,6,7,0,13
221,G-VRPTW-MD,6,5,2,13
222,G-VRPTW-MD,7,4,4,15
223,G-VRPTW-MD,3,2,2,7
224,G-VRPTW-MD,9,4,6,19
225,G-VRPTW-MD,8,6,3,17
226,G-VRPTW-MD,4,5,0,9
227,G-VRPTW-MD,12,6,7,25
228,G-VRPTW-MD,9,7,3,19
229,G-VRPTW-MD,6,6,1,13
230,G-VRPTW-MD,4,4,1,9
231,G-VRPTW-MD,5,3,3,11
232,G-VRPTW-MD,12,9,4,25
233,CVRP,4,4,1,9
234,CVRP,6,5,4,15
235,CVRP,3,3,1,7
236,CVRP,6,4,3,13
237,CVRP,5,4,2,11
238,CVRP,4,4,1,9
239,CVRP,5,4,2,11
240,CVRP,4,4,1,9
241,CVRP,6,5,2,13
242,CVRP,5,5,1,11
243,CVRP,5,4,2,11
244,CVRP,4,5,0,9
245,CVRP,5,6,0,11
246,CVRP,3,2,2,7
247,CVRP,5,6,0,11
248,CVRP,6,4,3,13
249,CVRP,6,4,3,13
250,CVRP,6,5,4,15
251,CVRP,4,4,1,9
252,CVRP,6,4,3,13
253,CVRP,6,5,2,13
254,CVRP,4,5,0,9
255,CVRP,6,5,2,13
256,CVRP,4,4,1,9
257,CVRP,6,7,2,15
258,CVRP,3,3,1,7
259,CVRP,5,4,2,11
260,CVRP,4,5,0,9
261,CVRP,3,3,1,7
262,CVRP,6,5,2,13
263,MDCVRP,5,4,2,11
264,MDCVRP,5,4,2,11
265,MDCVRP,7,4,4,15
266,MDCVRP,7,6,2,15
267,MDCVRP,5,5,1,11
268,MDCVRP,5,5,1,11
269,MDCVRP,8,6,3,17
270,MDCVRP,3,3,1,7
271,MDCVRP,3,4,0,7
272,MDCVRP,7,7,1,15
273,MDCVRP,7,6,2,15
274,MDCVRP,5,5,3,13
275,MDCVRP,8,7,2,17
276,MDCVRP,4,4,1,9
277,MDCVRP,4,4,1,9
278,MDCVRP,5,4,2,11
279,MDCVRP,6,6,1,13
280,MDCVRP,7,7,1,15
281,MDCVRP,6,5,2,13
282,MDCVRP,4,4,1,9
283,MDCVRP,5,6,0,11
284,MDCVRP,5,5,1,11
285,MDCVRP,6,5,2,13
286,MDCVRP,7,6,2,15
287,MDCVRP,6,6,1,13
288,MDCVRP,3,2,2,7
289,MDCVRP,6,6,1,13
290,MDCVRP,9,6,4,19
291,MDCVRP,5,4,2,11
292,MDCVRP,7,6,2,15
293,GVRP,5,4,2,11
294,GVRP,4,4,1,9
295,GVRP,8,9,0,17
296,GVRP,4,4,1,9
297,GVRP,6,6,1,13
298,GVRP,9,10,0,19
299,GVRP,7,7,1,15
300,GVRP,6,5,2,13
301,GVRP,9,7,3,19
302,GVRP,6,6,1,13
303,GVRP,7,7,1,15
304,GVRP,7,6,3,16
305,GVRP,6,5,2,13
306,GVRP,7,6,3,16
307,GVRP,8,6,3,17
308,GVRP,5,6,0,11
309,GVRP,5,5,1,11
310,GVRP,4,4,1,9
311,GVRP,3,4,0,7
312,GVRP,5,5,1,11
313,GVRP,4,4,1,9
314,GVRP,5,4,2,11
315,GVRP,3,3,1,7
316,GVRP,10,6,5,21
317,GVRP,8,8,1,17
318,GVRP,7,6,2,15
319,GVRP,4,3,2,9
320,GVRP,4,4,1,9
321,GVRP,6,7,0,13
322,GVRP,8,7,2,17
323,GVRP-MD,9,7,3,19
324,GVRP-MD,8,6,3,17
325,GVRP-MD,7,6,2,15
326,GVRP-MD,7,6,2,15
327,GVRP-MD,5,5,1,11
328,GVRP-MD,11,6,6,23
329,GVRP-MD,8,7,2,17
330,GVRP-MD,6,6,1,13
331,GVRP-MD,5,5,1,11
332,GVRP-MD,8,7,2,17
333,GVRP-MD,4,5,0,9
334,GVRP-MD,5,4,2,11
335,GVRP-MD,6,6,1,13
336,GVRP-MD,7,4,4,15
337,GVRP-MD,9,6,4,19
338,GVRP-MD,10,6,5,21
339,GVRP-MD,6,4,3,13
340,GVRP-MD,8,6,3,17
341,GVRP-MD,7,4,4,15
342,GVRP-MD,7,7,1,15
343,GVRP-MD,6,4,3,13
344,GVRP-MD,6,4,3,13
345,GVRP-MD,6,4,3,13
346,GVRP-MD,8,8,1,17
347,GVRP-MD,6,5,2,13
348,GVRP-MD,7,4,4,15
349,GVRP-MD,5,4,2,11
350,VRPTW,6,7,1,14
351,VRPTW,7,6,2,15
352,VRPTW,7,5,3,15
353,VRPTW,5,5,1,11
354,VRPTW,5,6,0,11
355,VRPTW,27,14,14,55
356,VRPTW,6,6,1,13
357,VRPTW,6,6,1,13
358,VRPTW,6,5,2,13
359,VRPTW,5,6,0,11
360,VRPTW,5,6,0,11
361,VRPTW,9,8,2,19
362,VRPTW,7,4,4,15
363,VRPTW,9,4,6,19
364,VRPTW,3,4,0,7
365,VRPTW,6,4,3,13
366,VRPTW,12,9,4,25
367,VRPTW,5,4,2,11
368,VRPTW,5,4,2,11
369,VRPTW,6,6,1,13
370,VRPTW,5,4,2,11
371,VRPTW,4,4,1,9
372,VRPTW,2,2,1,5
373,VRPTW,3,4,0,7
374,VRPTW,7,4,4,15
375,VRPTW,2,2,1,5
376,VRPTW,10,10,3,23
377,VRPTW,4,4,1,9
378,VRPTW,6,5,2,13
379,VRPTW,7,4,4,15
380,MDVRPTW,6,6,1,13
382,MDVRPTW,5,5,1,11
383,MDVRPTW,7,6,2,15
384,MDVRPTW,17,10,8,35
385,MDVRPTW,8,8,2,18
386,MDVRPTW,10,9,2,21
387,MDVRPTW,6,6,1,13
388,MDVRPTW,6,6,1,13
389,MDVRPTW,7,6,2,15
390,MDVRPTW,8,7,2,17
391,MDVRPTW,6,4,3,13
392,MDVRPTW,6,5,2,13
393,MDVRPTW,9,7,3,19
394,MDVRPTW,5,6,0,11
395,MDVRPTW,15,8,8,31
396,MDVRPTW,9,5,5,19
397,MDVRPTW,5,5,1,11
398,MDVRPTW,8,9,0,17
399,MDVRPTW,6,4,3,13
400,MDVRPTW,7,4,4,15
401,MDVRPTW,6,5,2,13
402,MDVRPTW,11,9,3,23
403,MDVRPTW,9,7,3,19
404,MDVRPTW,5,6,0,11
405,MDVRPTW,7,8,0,15
406,MDVRPTW,9,7,6,22
407,MDVRPTW,10,7,4,21
408,G-VRPTW,14,11,4,29
409,G-VRPTW,9,7,3,19
410,G-VRPTW,8,4,5,17
411,G-VRPTW,5,4,2,11
412,G-VRPTW,11,8,4,23
