index,problem_type,bool_capacity,n_instances,gp_avg_cost,optimal_avg_cost,pct_gap_vs_optimal,n_optima_found,n_instances_expected,source_file
8,VRP,True,27,1277.1969174647488,1041.9259259259259,22.580395178260414,27,27,2train/exp_train10_4.csv
9,MDVRP,True,33,3456.3229922682663,2436.1821212121217,41.87457342263778,33,33,mut_cross/exp_cx100_mu20_5.csv
12,VRPTW,True,120,6683.9997439159,4474.972500000003,49.364040648649706,120,120,set_size/exp_Core_4.csv
13,MDVRPTW,True,20,3540.4892437905996,2306.629,53.49192452668373,20,20,tournament_size/exp_t5_4.csv

