index,problem_type,bool_capacity,n_instances,gp_avg_cost,nn_avg_cost,savings_avg_cost,pct_vs_nn,pct_vs_savings
0,VRP,False,27,650.2033839422118,687.5874376461396,602.9983635084944,5.4369890514444235,-7.828382843206895
1,MDVRP,False,33,2734.1991292266566,2919.8180155287387,2318.1532523496135,6.357207377819026,-17.94729819762136
2,GVRP,False,92,562.2555859828921,626.096262714317,606.4466079972321,10.19662319251936,7.286877596740022
3,GVRP-MD,False,92,596.9647945567817,612.3817849791292,572.0922725599376,2.517545557445489,-4.347641663738484
4,VRPTW,False,120,6840.474802033039,9400.967810939004,5986.765024435872,27.23648309833127,-14.259951311144226
5,MDVRPTW,False,20,3733.381646016601,4013.0459991516655,3299.5682255914276,6.968879828294618,-13.147581464160051
6,G-VRPTW,False,92,1153.8629116476027,1326.0703103280764,1106.7636187250826,12.986294719008432,-4.2555873833994795
7,G-VRPTW-MD,False,92,958.4921089661188,1102.2492308593653,757.9208926120752,13.042161234366809,-26.463344434641606
8,VRP,True,27,1334.6584231668612,1453.260347397832,1094.0534004986753,8.161092707396588,-21.99207301567884
9,MDVRP,True,33,3841.596676223971,3852.937082148458,2597.0987647894617,0.29433145890260937,-47.918774915569934
10,GVRP,True,92,752.831995502559,780.8664717208892,657.346377314294,3.5901754312164553,-14.525921414276066
11,GVRP-MD,True,92,707.4170895696353,733.8781204489882,588.7721531977078,3.605643790438109,-20.151247936497935
12,VRPTW,True,120,7093.668269967867,9509.661093314602,6095.617845885498,25.40566692797502,-16.37324467044872
13,MDVRPTW,True,20,3982.814000607791,4090.123784081288,3302.7136374877773,2.623631683010307,-20.592168676099178
14,G-VRPTW,True,92,1190.1971942576731,1326.0703103280764,1107.1268267155738,10.246298029007798,-7.503238611653707
15,G-VRPTW-MD,True,92,960.0190752808876,1102.2492308593653,758.023620323214,12.903629378592388,-26.647646530004522
