row_index,variant_name,functions_count,terminals_count,constants_count,size_total
0,VRP,4,3,2,9
1,MDVRP,4,4,1,9
2,GVRP,4,4,1,9
3,GVRP-MD,4,4,1,9
4,VRPTW,4,4,1,9
5,MDVRPTW,5,5,1,11
6,G-VRPTW,5,4,2,11
7,G-VRPTW-MD,5,6,0,11
8,VRP,4,4,1,9
9,MDVRP,6,5,2,13
10,GVRP,5,4,2,11
11,GVRP-MD,4,4,1,9
12,VRPTW,5,4,2,11
13,MDVRPTW,6,4,3,13
14,G-VRPTW,4,4,1,9
15,G-VRPTW-MD,6,5,2,13
